"OWC","SCCS.ID","minerva_id","eHRAF.Name","PSF.Cluster","EA.ID","Domain_var","TL1","Domain_name","Domain_num"
"RU41",53,53,"Nenets",NA,"Ec04","Soc_TL1_avg_final",NA,"social",2
"RU41",53,53,"Nenets",NA,"Ec04","Gender_TL1_avg_final",3.25,"gender",3
"RU41",53,53,"Nenets",NA,"Ec04","Mar_TL1_avg_final",3.25,"marriage",4
"RU41",53,53,"Nenets",NA,"Ec04","Sex_TL1_avg_final",NA,"sex",5
"RU41",53,53,"Nenets",NA,"Ec04","FM_TL1_avg_final",2.75,"funeral",6
"RU41",53,53,"Nenets",NA,"Ec04","Ov_tl_avg",2.8125,"overall",7
"RU41",53,53,"Nenets",NA,"Ec04","General_TL5B_avg_final",3,"gestalt",8
"RF10",54,54,"Russians",NA,"Ch11","General_TL1_avg_final",4,"law",1
"RF10",54,54,"Russians",NA,"Ch11","Soc_TL1_avg_final",4,"social",2
"RF10",54,54,"Russians",NA,"Ch11","Gender_TL1_avg_final",3.75,"gender",3
"RF10",54,54,"Russians",NA,"Ch11","Mar_TL1_avg_final",4,"marriage",4
"RF10",54,54,"Russians",NA,"Ch11","Sex_TL1_avg_final",NA,"sex",5
"RF10",54,54,"Russians",NA,"Ch11","FM_TL1_avg_final",4,"funeral",6
"RF10",54,54,"Russians",NA,"Ch11","Ov_tl_avg",3.95,"overall",7
"RF10",54,54,"Russians",NA,"Ch11","General_TL5B_avg_final",4,"gestalt",8
"RI03",55,55,"Abkhazians",NA,"Ci12","General_TL1_avg_final",3,"law",1
"RI03",55,55,"Abkhazians",NA,"Ci12","Soc_TL1_avg_final",NA,"social",2
"RI03",55,55,"Abkhazians",NA,"Ci12","Gender_TL1_avg_final",1.875,"gender",3
"RI03",55,55,"Abkhazians",NA,"Ci12","Mar_TL1_avg_final",3.375,"marriage",4
"RI03",55,55,"Abkhazians",NA,"Ci12","Sex_TL1_avg_final",NA,"sex",5
